binary	arch	opt	panic	strip	fns_nsa_raw	fns_nsa_wrap	nsa_within_parity	nsa_field_mm	nsa_only_in	nsa_only_out	nsa_drift_family	fns_ghidra_raw	fns_ghidra_wrap	ghydra_within_parity	nsa_B1B4	ghydra_B1B4	cross_raw_b1b4	note
selfrep.rustc.aarch64.O0.abort.elf	aarch64	O0	abort	False	963	963	True	0	0	0	parity	953	953	True	True	True	True	PARITY
selfrep.rustc.aarch64.O0.abort.strip.elf	aarch64	O0	abort	True	953	953	True	0	0	0	parity	953	953	True	True	True	True	PARITY
selfrep.rustc.aarch64.O0.unwind.elf	aarch64	O0	unwind	False	968	968	True	0	0	0	parity	958	958	True	True	True	True	PARITY
selfrep.rustc.aarch64.O0.unwind.strip.elf	aarch64	O0	unwind	True	958	958	True	0	0	0	parity	958	958	True	True	True	True	PARITY
selfrep.rustc.aarch64.O1.abort.elf	aarch64	O1	abort	False	711	711	True	0	0	0	parity	701	701	True	True	True	True	PARITY
selfrep.rustc.aarch64.O1.abort.strip.elf	aarch64	O1	abort	True	701	701	True	0	0	0	parity	701	701	True	True	True	True	PARITY
selfrep.rustc.aarch64.O1.unwind.elf	aarch64	O1	unwind	False	726	726	True	0	0	0	parity	716	716	True	True	True	True	PARITY
selfrep.rustc.aarch64.O1.unwind.strip.elf	aarch64	O1	unwind	True	716	716	True	0	0	0	parity	716	716	True	True	True	True	PARITY
selfrep.rustc.aarch64.O2.abort.elf	aarch64	O2	abort	False	712	712	True	0	0	0	parity	702	702	True	True	True	True	PARITY
selfrep.rustc.aarch64.O2.abort.strip.elf	aarch64	O2	abort	True	702	702	True	0	0	0	parity	702	702	True	True	True	True	PARITY
selfrep.rustc.aarch64.O2.unwind.elf	aarch64	O2	unwind	False	721	721	True	0	0	0	parity	711	711	True	True	True	True	PARITY
selfrep.rustc.aarch64.O2.unwind.strip.elf	aarch64	O2	unwind	True	713	713	True	0	0	0	parity	713	713	True	True	True	True	PARITY
selfrep.rustc.aarch64.O3.abort.elf	aarch64	O3	abort	False	710	710	True	0	0	0	parity	700	700	True	True	True	True	PARITY
selfrep.rustc.aarch64.O3.abort.strip.elf	aarch64	O3	abort	True	699	699	True	0	0	0	parity	699	699	True	True	True	True	PARITY
selfrep.rustc.aarch64.O3.unwind.elf	aarch64	O3	unwind	False	719	719	True	0	0	0	parity	709	709	True	True	True	True	PARITY
selfrep.rustc.aarch64.O3.unwind.strip.elf	aarch64	O3	unwind	True	710	710	True	0	0	0	parity	710	710	True	True	True	True	PARITY
selfrep.rustc.aarch64.Os.abort.elf	aarch64	Os	abort	False	713	713	True	0	0	0	parity	703	703	True	True	True	True	PARITY
selfrep.rustc.aarch64.Os.abort.strip.elf	aarch64	Os	abort	True	704	704	True	0	0	0	parity	704	704	True	True	True	True	PARITY
